"Program","CardName","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","Value"
"Diamond Resorts","Diamond Resorts International MasterCard","Barclay","https://home.barclaycardus.com/cards/diamond-resorts-international-mastercard.html","2,500 bonus Diamond Plus Points after your first purchase",0,2500,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/diamond1.png",0.01,25
"FlexPerks","US Bank Altitude Reserve Visa Infinite Card","US","http://mycard.usbank.com/credit/teamsite/html/altitude_reserve.html","delete",0,0,0,0,0,400,0,"https://www.usbank.com//images/Credit_Cards_110x170/usbank_altitude_110x70.png?123",0.015,-400
"FlexPerks","US Bank Visa Platinum Card","US","http://mycard.usbank.com/platinumvisa","With Platinum, you get a special 0% introductory APR* on purchases and balance transfers for 15 billing cycles and thereafter, a variable APR, currently 10.74% - 22.74%.",0,0,0,0,0,400,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_Platinum.png",0.015,-400
"FlexPerks","US Bank Cash American Express Card","US","http://mycard.usbank.com/cash365Amex","The U.S. Bank Cash 365™ American Express® Card offers you 1.5% cash back1 on everyday eligible net purchases.2",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/cash_365_110_70.png",0.015,0
"FlexPerks","US Bank Cash+ Visa Signature Card","US","http://mycard.usbank.com/cashplus","delete",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/USB_Cash_Plus_Visa_110_70.png",0.015,0
"FlexPerks","US Bank FlexPerks Travel Rewards Visa Signature Card","US","http://mycard.usbank.com/flexperksvisa","With the FlexPerks® Travel Rewards Visa Signature® Card, you can earn 20,000 enrollment FlexPoints after you spend $2,000 in the first four months of account opening.1",0,20000,0,0,1,49,2000,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_FlexPerks_Travel_signature.png?123",0.015,300
"FlexPerks","US Bank FlexPerks Gold American Express Card","US","http://mycard.usbank.com/flexperksgoldamex","With the new U.S. Bank FlexPerks® Gold American Express® Card, you earn premium rewards such as 3x points at restaurants1 and 2X points at gas stations2 and at airlines2 - which will help you reach your next travel experience that much quicker.",0,0,0,0,0,85,0,"https://www.usbank.com//images/Credit_Cards_110x170/Gold_Amex_110_70.png",0.015,-85
"FlexPerks","US Bank FlexPerks Select+ American Express Card","US","https://www.usbank.com/credit-cards/flexperks-select-plus-american-express-card.html","Earn 10,000 enrollment FlexPoints with a new FlexPerks Select+ Card after you spend $1,000 in eligible Net Purchases on your Card within the first four months of account opening.1",0,10000,0,0,0,0,1000,"https://www.usbank.com//images/credit-card/110x70-select.png",0.015,150
"FlexPerks","REWARDS Visa Card","US","https://www.usbank.com/credit-cards/1-2-3-rewards-visa-credit-card.html","Get unlimited rewards at Kroger, King Soopers, City Market, Dillons, Baker's, Smith's, Fry's and QFC.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_S_1-2-3Rewards.jpg",0.015,0
"FlexPerks","Ace Rewards Visa Signature Card","US","https://www.usbank.comace-rewards-visa-credit-card.html","delete",0,0,0,0,0,0,0,"https://www.usbank.com//images/credit-card/ACE_110x70.png",0.015,0
"FlexPerks","Fred Meyer Rewards Visa Card","US","https://www.usbank.com/credit-cards/fred-meyer-rewards-visa-credit-card.html","Earn Rewards and save up to $1.25 off a gallon of fuel for ONE YEAR!3",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/reward_fredMeyer_card_S.jpg",0.015,0
"FlexPerks","Gymboree Visa Card","US","https://www.usbank.com/credit-cards/gymboree-visa-credit-card.html","You'll receive a 5% discount instantly on all Gymboree clothing store purchases.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_gymboree.png",0.015,0
"FlexPerks","Harley Davidson Visa Signature Card","US","https://www.usbank.com/credit-cards/harley-davidson-visa-signature-credit-card.html","The H-D™ Visa Signature® card helps you earn more rewards faster. It comes with benefits that make it a classic through and through.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_HD_sig.png?6-15",0.015,0
"FlexPerks","Polaris Visa Card","US","https://www.usbank.com/credit-cards/polaris-visa-credit-card.html","Get started with 0% Intro APR1 on purchase and balance transfers for 12 billing cycles. After that, a variable APR currently 14.74% - 23.74%1. Use your Polaris Visa Card for anything at your dealership – even service – and earn Polaris Cash!",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_Polaris.png",0.015,0
"FlexPerks","Ralphs Rewards Visa Card","US","https://www.usbank.com/credit-cards/ralphs-rewards-plus-visa-credit-card.html","Everyday rewards for everyday shopping when you use the Ralphs Rewards Visa® Card",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_S_Ralphs.jpg",0.015,0
"FlexPerks","REI Co op Mastercard","US","https://www.usbank.com/credit-cards/rei-mastercard.html","The REI Co-op Mastercard is the only credit card that helps you get a bigger REI dividend and gives back to the outdoors. Everyday purchases increase your dividend when you use your REI Co-op Mastercard.",0,0,0,0,0,0,0,"https://www.usbank.com//images/credit-card/110x70-REI-r.png",0.015,0
"FlexPerks","Harley Davidson Visa Secured Card","US","https://www.usbank.com/credit-cards/harley-davidson-visa-secured-credit-card.html","If you’re looking to earn H-D™ Genuine Rewards points while you build or re-establish your credit history,1 the Harley-Davidson® Secured Card is for you.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_HD_sec.png?6-15",0.015,0
"FlexPerks","US Bank Secured Visa Card","US","https://www.usbank.com/credit-cards/secured-card.html","Get worldwide purchasing power and flexibility as you work to build or re-establish your credit history.1",0,0,0,0,0,29,0,"https://www.usbank.com//images/credit-card/usbank-compare.png",0.015,-29
"Frontier","Frontier Airlines World MasterCard","Barclay","https://home.barclaycardus.com/cards/frontier-airlines-world-mastercard.html","Earn 40,000 bonus miles",0,40000,0,0,1,69,500,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/FTA_card_rCMY_Frontier_Fee_WM_F76877_EMV_230x157_v2.png",0.011,440
"Hawaiian","Hawaiian Airlines World Elite MasterCard","Barclay","https://home.barclaycardus.com/cards/hawaiian-airlines-world-elite-mastercard.html","Earn 35,000 bonus miles",0,35000,0,0,0,89,1000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/hawaiian1.png",0.01,261
"Hilton","Citi Hilton Honors Reserve Card","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=hilton-honors-reserve-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~62HZ17A711C2L00101W","Earn two weekend night certificates  after making $2,500 in purchases within the first 4 months of account opening.1 Annual Fee: $951",0,0,0,0,0,95,2500,"https://www.citi.com/CRD/images/card_no_reflection/hilton-honors-reserve-card.jpg",0.005,-95
"Hilton","Citi Hilton Honors Visa Signature Card","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=hilton-honors-visa-signature-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~hilton-honors-visa-signature-card~FPSHCN5731C2L10202W","Earn 40,000 Hilton HonorsTM Bonus Points after making $1,000 in purchases within the first 4 months of account opening.",0,40000,0,0,0,0,1000,"https://www.citi.com/CRD/images/card_no_reflection/hilton-honors-visa-signature-card.jpg",0.005,200
"Hilton","Hilton Honors Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/hilton-honors/","Earn 50,000 Hilton Honors Bonus Pointsafter you spend $1,000 in purchases on the Card within your first 3 months of Card Membership.†",0,50000,0,0,0,0,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/hilton-honors.png",0.005,250
"Hilton","Hilton Honors Surpass Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/hilton-honors-surpass/","Earn 75,000 Hilton Honors™ Bonus Pointsafter you spend $3,000 in purchases on the Card within your first 3 months of Card Membership.†",0,75000,0,0,0,75,3000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/hilton-honors-surpass.png",0.005,300
"Holland America","Holland America Line Rewards Visa Card","Barclay","https://home.barclaycardus.com/cards/holland-america-line-rewards-visa-card.html","5,000 bonus points after first purchase",0,5000,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/HAL_card_rRGB_HollandVS_Flat_230x157.png",0.01,50
"Hyatt","The Hyatt Credit Card","Chase","https://creditcards.chase.com/credit-cards/hyatt?iCELL=61FY"," 2 free nights at Hyatt hotels and resorts worldwide after you make $2,000 on purchases in the first 3 months after account opening. ",0,0,2,0,0,75,2000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/hyatt_card.png",0.018,225
"IHG","IHG Rewards Club Select Credit Card","Chase","https://creditcards.chase.com/credit-cards/ihg-rewards-club?iCELL=61FY"," 60,000 bonus points After you spend $1,000 on purchases in the first 3 months of account opening. ",0,60000,0,0,1,49,1000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/ihg_card.png",0.007,420
"JetBlue","JetBlue Card","Barclay","https://home.barclaycardus.com/cards/jetblue-card.html","Earn 5,000 bonus points after you spend $1,000 on purchases in the first 90 days",0,5000,0,0,0,0,1000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/JB1_JBM_card_rRGB_NoFee_Green_WM_230x157.png",0.012,60
"LANPASS","LANPASS Visa Signature Card","US","https://www.usbank.com/credit-cards/lanpass-visa-signature-credit-card.html","Earn 20,000 bonus miles after your first card use.1",0,20000,0,0,1,75,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_LANPass_sig.png?875498",0.01,200
"LANPASS","LANPASS Visa Secured Card","US","https://www.usbank.com/credit-cards/lanpass-visa-secured-credit-card.html","Earn 5,000 Bonus Miles after your first card use.2",0,5000,0,0,1,25,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_LANPass_sec.png?87647",0.01,50
"LANPASS","LANPASS Visa Card","US","https://www.usbank.com/credit-cards/lanpass-visa-credit-card.html","Earn 15,000 Bonus Miles after your first card use.1",0,15000,0,0,1,45,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_LANPass.png?87128",0.01,150
"Marriott","Marriott Rewards Premier","Chase","https://creditcards.chase.com/credit-cards/marriott-premier?iCELL=61FY"," 80,000 Bonus points after you spend $3,000 on purchases in your first 3 months from your account opening with your Marriott Rewards Premier credit card. ",0,80000,0,0,0,85,3000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/marriott_premier_card.png",0.007,475
"Marriott","Marriott Rewards Premier Business","Chase","https://creditcards.chase.com/credit-cards/small-business/marriott-premier-business?iCELL=61FY"," 80,000 Bonus points after you spend $3,000 on purchases in your first 3 months from your account opening with your Marriott Rewards Premier Business credit card. ",0,80000,0,0,0,99,3000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/marriott_premier_biz_card.png",0.007,461
"Miles & More","Miles & More World Elite MasterCard","Barclay","https://home.barclaycardus.com/cards/lufthansa-miles-more-world-elite-mastercard.html","0",0,35000,0,0,0,89,1000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/lufthansa1.png",0.014,401
"Norwegian","Norwegian Cruise Line","BOA","https://www.bankofamerica.com/credit-cards/products/norwegian-cruise-lines-credit-card/","Earn 10,000 Bonus WorldPoints® reward points if you make your first transaction in the first 90 days",0,10000,0,0,0,0,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/radz_wldvhd_mc_250x158.png",0.01,100
"Princess","Princess Cruises Rewards Visa Card","Barclay","https://home.barclaycardus.com/cards/princess-cruises-rewards-visa-card.html","5,000 bonus points after first purchase",0,5000,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/princess1.png",0.01,50
"Ritz Carlton","The Ritz Carlton Rewards Credit Card","Chase","https://creditcards.chase.com/credit-cards/ritz-carlton-rewards?iCELL=61FY"," Two complimentary nights at any participating Tier 1-4 Ritz-Carlton hotel, after you spend $4,000 on purchases in the first 3 months after account opening. ",0,0,2,300,0,450,4000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/ritz_carlton_card.png",0.007,150
"Royal Caribbean","Royal Caribbean","BOA","https://www.bankofamerica.com/credit-cards/products/royal-caribbean-credit-card/","10,000 MyCruise® bonus points offer",0,10000,0,0,0,0,3500,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/raem_sigcm_v_250x158.png",0.01,100
"SKYPASS","SKYPASS Visa Signature Card","US","https://www.usbank.com/credit-cards/skypass-visa-signature-credit-card.html","Earn 15,000 SKYPASS Bonus Miles after your first purchase.1",0,15000,0,0,0,80,0,"https://www.usbank.com//images/credit-card/skypass-visa-signature-compare.png",0.01,70
"SKYPASS","SkyBlue SKYPASS Visa Card","US","https://www.usbank.com/credit-cards/skyblue-skypass-visa-credit-card.html","Earn 5,000 SKYPASS Bonus Miles after your first purchase.1",0,5000,0,0,0,0,0,"https://www.usbank.com//images/credit-card/skyblue-skypass-visa-compare.png",0.01,50
"SKYPASS","SKYPASS Visa Classic Card","US","https://www.usbank.com/credit-cards/skypass-visa-classic-credit-card.html","Earn 5,000 SKYPASS Bonus Miles after your first purchase.1",0,5000,0,0,0,50,0,"https://www.usbank.com//images/credit-card/skypass-visa-classic-compare.png",0.01,0
"SKYPASS","SKYPASS Visa Secured Card","US","https://www.usbank.com/credit-cards/skypass-visa-secured-credit-card.html","Earn 5,000 Bonus Miles after your first purchase.2",0,5000,0,0,0,50,0,"https://www.usbank.com//images/credit-card/skypass-visa-classic-compare.png",0.01,0
"Southwest","Southwest Rapid Rewards Premier Business Credit Card","Chase","https://creditcards.chase.com/credit-cards/small-business/southwest-premier-business?iCELL=61FY"," 60,000 bonus points after you spend $3,000 on purchases in the first 3 months your account is open. ",0,60000,0,0,0,99,3000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/swa_premier_biz_card.png",0.015,801
"Southwest","Southwest Rapid Rewards Premier Credit Card","Chase","https://creditcards.chase.com/credit-cards/southwest-premier?iCELL=61FY"," 40,000 bonus points after you spend $1,000 on purchases in the first 3 months your account is open. ",0,40000,0,0,0,99,1000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/swa_premier_card.png",0.015,501
"Southwest","Southwest Rapid Rewards Plus Credit Card","Chase","https://creditcards.chase.com/credit-cards/southwest-plus?iCELL=61FY"," 40,000 bonus points after you spend $1,000 on purchases in the first 3 months your account is open. ",0,40000,0,0,0,69,1000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/swa_plus_card.png",0.015,531
"Spirit","Spirit Airlines","BOA","https://www.bankofamerica.com/credit-cards/products/spirit-airlines-credit-card/","15,000 bonus miles offer",0,15000,0,0,1,59,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/ragb_wldcm_mc_250x158.png",0.01,150
"Starwood","Starwood Preferred Guest Business Credit Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/starwood-business-credit-card/44281?linknav=us-acq-open-aj-allcards-starwood-lm","Earn 25,000 bonus Starpoints®after you use your Card to make $5,000 in purchases within the first 3 months.†",0,25000,0,0,1,95,5000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-474.png?version=8",0.025,625
"Starwood","The Starwood Preferred Guest Credit Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/starwood-preferred-guest/","Earn 25,000 bonus Starpoints®after you use your new Card to make $3,000 in purchases within the first 3 months.†",0,25000,0,0,1,95,3000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/starwood-preferred-guest.png",0.025,625
"United","United MileagePlus Explorer Business card","Chase","https://creditcards.chase.com/credit-cards/small-business/united-mileageplus-explorer-business?iCELL=61FY"," 50,000 bonus miles after you spend $3,000 on purchases in the first 3 months your account is open. ",0,50000,0,0,1,95,3000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/united_biz_card.png",0.015,750
"United","United MileagePlus Club card","Chase","https://creditcards.chase.com/credit-cards/united-mileageplus-club?iCELL=61FY"," $100 statement credit after your first purchase. ",100,0,0,0,0,450,0,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/united_club_card.png",0.015,-350
"United","United MileagePlus Explorer card","Chase","https://creditcards.chase.com/credit-cards/united-mileageplus-explorer?iCELL=61FY"," 50,000 bonus miles after you spend $3,000 on purchases in the first 3 months from account opening. ",0,50000,0,0,0,95,3000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/united_mileageplus_explorer_card.png",0.015,655
"Virgin Atlantic","Virgin Atlantic","BOA","https://www.bankofamerica.com/credit-cards/products/virgin-atlantic-credit-card/","Get 20,000 Flying Club bonus miles after your first purchase",0,20000,0,0,0,90,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/rafu_wldeltcm_mc_blk_250x158.png",0.015,210
"Wyndham","Wyndham Rewards Visa Card","Barclay","https://home.barclaycardus.com/cards/wyndham-rewards-visa-card.html","15,000 bonus points with first purchase",0,15000,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/wyndham1.png",0.012,180
