"Program","CardName","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","Value"
"Capital One","Platinum","Capital One","https://www.capitalone.com/credit-cards/platinum/"," Get the credit you need with no annual fee ",0,0,0,0,0,0,0,"https://www.capitalone.com/assets/credit-cards/img/4dkzj4o5oQKoogGu4SMy20/ad35ae41c5cd425307c98bee086e3e9e/www-blue-steel-mc-flat-240x151.png",0.01,0
"Capital One","Journey Student Rewards","Capital One","https://www.capitalone.com/credit-cards/journey-student/"," Build credit with responsible use and earn cash back ",0,0,0,0,0,0,0,"https://www.capitalone.com/assets/credit-cards/img/2erGkrzvgg8A0WoK2m6YGi/707feb4639f3836f5952cffd3b554363/www-journey-emv-visa-flat-240x151.png",0.01,0
"Capital One","Secured MasterCard","Capital One","https://www.capitalone.com/credit-cards/secured-mastercard/"," Refundable deposit of $49, $99 or $200 gets you a $200 initial credit line. Access a higher credit line by making your first 5 monthly payments on time. ",0,0,0,0,0,0,0,"https://www.capitalone.com/assets/credit-cards/img/nhLu8o28c86GASymI08ms/233b0ce6909a7e9b6275291d6138a0f0/www-blue-steel-mc-flat-240x151.png",0.01,0
"Capital One","Spark Cash","Capital One","https://www.capitalone.com/small-business/credit-cards/spark-cash/"," 2% cash back on all purchases. Plus, the opportunity to earn a one-time $500 cash bonus once you spend $4,500 on purchases within the first 3 months from account opening* ",500,0,0,0,1,59,4500,"https://www.capitalone.com/assets/credit-cards/img/4Vez3PcPuUSseaEeimG4sW/072dea9c10bb833561a0d7a8827736b0/spark-cash-240x151.png",0.01,500
"Capital One","Spark Cash Select","Capital One","https://www.capitalone.com/small-business/credit-cards/spark-cash-select/"," 1.5% cash back on all purchases. Plus, the opportunity to earn a one-time $200 cash bonus once you spend $3,000 on purchases within the first 3 months from account opening* ",200,0,0,0,0,0,3000,"https://www.capitalone.com/assets/credit-cards/img/4Vez3PcPuUSseaEeimG4sW/072dea9c10bb833561a0d7a8827736b0/spark-cash-240x151.png",0.01,200
"Capital One","Spark Miles","Capital One","https://www.capitalone.com/small-business/credit-cards/spark-miles/"," 2 miles per dollar on all purchases. Plus, the opportunity to earn a one-time bonus of 50,000 miles—equal to $500 in travel—once you spend $4,500 on purchases within the first 3 months from account opening* ",0,50000,0,0,1,59,4500,"https://www.capitalone.com/assets/credit-cards/img/3tt5a2Fp5mgeyUo6oiuIwg/15e543a99426cd285471c4ef4197185a/spark-miles-emv-visa-sig-flat-240x151-www.png",0.01,500
"Capital One","Spark Miles Select","Capital One","https://www.capitalone.com/small-business/credit-cards/spark-miles-select/"," 1.5 miles per dollar on all purchases. Plus, the opportunity to earn a one-time bonus of 20,000 miles—equal to $200 in travel—once you spend $3,000 on purchases within the first 3 months from account opening* ",0,20000,0,0,0,0,3000,"https://www.capitalone.com/assets/credit-cards/img/3tt5a2Fp5mgeyUo6oiuIwg/15e543a99426cd285471c4ef4197185a/spark-miles-emv-visa-sig-flat-240x151-www.png",0.01,200
"Capital One","Spark Classic","Capital One","https://www.capitalone.com/small-business/credit-cards/spark-classic/"," Get the credit you want for your business, and 1% cash back on purchases ",0,0,0,0,0,0,0,"https://www.capitalone.com/assets/credit-cards/img/acl1mmCpgc8KwkKO4c4oO/a2f8793b755ede3a8d8a06f5f4866044/emv-spark-classic-emv-visa-flat-240x151-www.png",0.01,0
"Carnival","Carnival World MasterCard","Barclay","https://home.barclaycardus.com/cards/carnival-world-mastercard.html","10,000 Bonus “FunPoints®” after first purchase",0,10000,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/SMC_card_rRGB_CarnivalWM_EMV_230x157.png",0.01,100
"Celebrity","Celebrity Cruises","BOA","https://www.bankofamerica.com/credit-cards/products/celebrity-cruises-credit-card/","10,000 MyCruise® bonus points offer",0,10000,0,0,0,69,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/ragf_sigcm_v_fee_250x158.png",0.01,31
